dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,5,122282,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,5,108160,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,6,110925,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,6,81398,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,6,101015,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,5,89566,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,3,62422,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,7,79452,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,7,109389,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,7,70630,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,6,61093,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,4,108518,window
faf17535-2f66-4621-995f-49c7dbd84e8b,806675934,1493181000,4236,4,108883,window
faf17535-2f66-4621-995f-49c7dbd84e8b,915071471,1276389926,4237,6,89511,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1047554904,1372741515,4236,6,104931,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305863,1509239597,4236,7,108787,window
faf17535-2f66-4621-995f-49c7dbd84e8b,545723717,1726030670,4236,6,108907,window
faf17535-2f66-4621-995f-49c7dbd84e8b,830763831,1155950442,4236,4,62575,window
faf17535-2f66-4621-995f-49c7dbd84e8b,965254590,1212155535,4236,4,72788,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961600,1372741515,4236,7,106072,window
faf17535-2f66-4621-995f-49c7dbd84e8b,696273072,1467085779,4237,6,108396,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961599,1089708725,4236,6,51830,window
Initial serve memory: 14946.1 MB
Post serve memory: 15318.4 MB
Post data serve memory:  MB
