dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4176,6,182882,window
faf17535-2f66-4621-995f-49c7dbd84e8b,-1305029698,2753780939,4236,6,162968,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1631686406,4236,4,173554,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,168859,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305861,1346646294,4236,4,177751,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1007408408,1290441200,4236,4,173342,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1143906492,1222192158,4237,8,163192,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1115803945,1278397252,4236,4,167860,window
faf17535-2f66-4621-995f-49c7dbd84e8b,790617335,1440990557,4236,4,175469,window
faf17535-2f66-4621-995f-49c7dbd84e8b,913064145,1196096937,4236,4,159348,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1073650126,1157957767,4237,4,159493,window
faf17535-2f66-4621-995f-49c7dbd84e8b,939159368,1426939283,4237,5,178876,window
faf17535-2f66-4621-995f-49c7dbd84e8b,806675934,1493181000,4236,6,178262,window
faf17535-2f66-4621-995f-49c7dbd84e8b,915071471,1276389926,4237,6,167705,window
faf17535-2f66-4621-995f-49c7dbd84e8b,1047554904,1372741515,4236,4,180699,window
faf17535-2f66-4621-995f-49c7dbd84e8b,979305863,1509239597,4236,4,177069,window
faf17535-2f66-4621-995f-49c7dbd84e8b,545723717,1726030670,4236,4,171980,window
faf17535-2f66-4621-995f-49c7dbd84e8b,830763831,1155950442,4236,4,155901,window
faf17535-2f66-4621-995f-49c7dbd84e8b,965254590,1212155535,4236,6,167390,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961600,1372741515,4236,5,171735,window
faf17535-2f66-4621-995f-49c7dbd84e8b,696273072,1467085779,4237,4,172021,window
faf17535-2f66-4621-995f-49c7dbd84e8b,884961599,1089708725,4236,4,248386,window
Initial serve memory: 14950.1 MB
Post serve memory: 15458.9 MB
Post data serve memory:  MB
